ticket_id,user_id,created_at,updated_at,status_label,topic_label,summary,channel_label,escalated_to_whatsapp,escalation_type,resolved,messages_count,user_messages,assistant_messages,system_messages,assistant_confidence_avg,screen_label_display,satisfaction_resolved,satisfaction_rating,satisfaction_comment,key
3,1911,2026-03-14T17:58:51.354480,2026-03-14T21:16:36.851063,Escalado a WhatsApp,Sincronización,quién eres,WhatsApp,True,Automático o sugerido por IA,False,14,7,7,0,0.571,Dashboard estudiante,,,,support/conversations/latest/ticket-3.json
4,38,2026-03-14T20:58:11.976745,2026-03-14T20:58:28.258366,Abierto,Manual usuario técnico estudiantes,como cambio mi foto de perfil,Sin canal final,False,,False,2,1,1,0,1.0,Dashboard estudiante,,,,support/conversations/latest/ticket-4.json
5,24,2026-03-14T21:04:12.281831,2026-04-14T19:56:44.762705,Escalado a WhatsApp,Manual usuario técnico estudiantes,Como solucionar si la unidad se bloquea?,WhatsApp,True,Manual desde widget,False,7,3,3,1,1.0,Sin pantalla registrada,,,,support/conversations/latest/ticket-5.json
6,38,2026-03-14T21:04:23.828765,2026-03-14T21:04:40.042694,Abierto,Manual usuario técnico estudiantes,como cambio mi foto de perfil,Sin canal final,False,,False,2,1,1,0,1.0,Dashboard estudiante,,,,support/conversations/latest/ticket-6.json
7,1911,2026-03-14T21:10:08.170254,2026-03-14T21:11:02.920383,Cerrado,Manual usuario técnico estudiantes,cuando intento subir una foto a uno de los plan de negocio no me permite. qué debo hacer,IA,False,,True,2,1,1,0,1.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-7.json
8,24,2026-03-17T14:48:09.054600,2026-03-17T14:49:40.741196,Cerrado,Saludo,cómo estás,WhatsApp,True,Manual desde widget,True,5,2,2,1,1.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-8.json
9,24,2026-03-17T15:00:11.775920,2026-04-14T19:55:20.772808,Cerrado,Saludo,Como puedo geenrar un plan de negocios?,IA,False,,True,6,3,3,0,1.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-9.json
10,3277,2026-03-18T23:17:15.439794,2026-03-18T23:19:54.346425,Cerrado,Sin tópico,Muy buenas tardes cordial saludo.,WhatsApp,True,Automático o sugerido por IA,True,2,1,1,0,0.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-10.json
11,3277,2026-03-19T18:48:00.938052,2026-03-19T19:41:30.531259,Cerrado,Sin tópico,"Muy buenas tardes, cordial saludo",WhatsApp,True,Automático o sugerido por IA,True,2,1,1,0,0.0,Sin pantalla registrada,True,5,,support/conversations/latest/ticket-11.json
12,1911,2026-03-19T22:11:11.916862,2026-03-19T22:11:35.662346,Abierto,Saludo,como estas,Sin canal final,False,,False,4,2,2,0,1.0,Dashboard estudiante,,,,support/conversations/latest/ticket-12.json
