ticket_id,message_id,created_at,sender,message,confidence,topic,status,channel_final
3,5,2026-03-14T17:59:07.387534,user,"hola, como se sube la foto a mi perfil",,sincronizacion,escalated_whatsapp,whatsapp
3,6,2026-03-14T17:59:07.387539,assistant,En este momento no pude procesar tu consulta con el asistente. Voy a escalar tu caso para atención por WhatsApp.,0.0,sincronizacion,escalated_whatsapp,whatsapp
3,9,2026-03-14T18:13:50.738465,user,hola,,sincronizacion,escalated_whatsapp,whatsapp
3,10,2026-03-14T18:13:50.738470,assistant,No encontré información suficiente para responder con certeza. Voy a escalar tu caso para atención por WhatsApp.,0.0,sincronizacion,escalated_whatsapp,whatsapp
3,11,2026-03-14T18:50:15.068255,user,hola,,sincronizacion,escalated_whatsapp,whatsapp
3,12,2026-03-14T18:50:15.068262,assistant,"Hola. Puedo ayudarte con dudas sobre acceso, perfil, progreso, modulos, uso offline, sincronizacion y errores tecnicos de la plataforma. Cuéntame el problema o la accion que quieres realizar.",1.0,sincronizacion,escalated_whatsapp,whatsapp
3,13,2026-03-14T18:50:46.905368,user,como cambio mi foto de perfil,,sincronizacion,escalated_whatsapp,whatsapp
3,14,2026-03-14T18:50:46.905373,assistant,"Segun la base de conocimiento, la mejor guia para tu consulta es ""manual usuario tecnico estudiantes"". - como cambio mi foto de perfil",1.0,sincronizacion,escalated_whatsapp,whatsapp
3,15,2026-03-14T18:51:54.139557,user,cómo actualizo mis datos,,sincronizacion,escalated_whatsapp,whatsapp
3,16,2026-03-14T18:51:54.139562,assistant,"Segun la base de conocimiento, la mejor guia para tu consulta es ""manual usuario tecnico estudiantes"". - como actualizo mis datos",1.0,sincronizacion,escalated_whatsapp,whatsapp
3,17,2026-03-14T19:58:49.870075,user,como actualizo mis datos de perfil,,sincronizacion,escalated_whatsapp,whatsapp
3,18,2026-03-14T19:58:49.870081,assistant,"Para cambiar la foto de perfil:

1. entra a tu perfil
2. ubica la seccion de imagen o foto de perfil
3. selecciona el archivo
4. confirma el cambio

Si la imagen no cambia despues de guardar:

recarga la vista del perfil
vuelve a entrar
verifica si la conexion estaba estable

Si aun no cambia, reporta que la foto no se actualiza.",1.0,sincronizacion,escalated_whatsapp,whatsapp
4,19,2026-03-14T20:58:28.263346,user,como cambio mi foto de perfil,,manual usuario tecnico estudiantes,open,
4,20,2026-03-14T20:58:28.263352,assistant,"Para cambiar la foto de perfil:

1. entra a tu perfil
2. ubica la seccion de imagen o foto de perfil
3. selecciona el archivo
4. confirma el cambio

Si la imagen no cambia despues de guardar:

recarga la vista del perfil
vuelve a entrar
verifica si la conexion estaba estable

Si aun no cambia, reporta que la foto no se actualiza.",1.0,manual usuario tecnico estudiantes,open,
5,21,2026-03-14T21:04:28.530585,user,como cambio la foto de perfil?,,manual usuario tecnico estudiantes,escalated_whatsapp,whatsapp
5,22,2026-03-14T21:04:28.530590,assistant,"Para cambiar la foto de perfil:

1. entra a tu perfil
2. ubica la seccion de imagen o foto de perfil
3. selecciona el archivo
4. confirma el cambio

Si la imagen no cambia despues de guardar:

recarga la vista del perfil
vuelve a entrar
verifica si la conexion estaba estable

Si aun no cambia, reporta que la foto no se actualiza.",1.0,manual usuario tecnico estudiantes,escalated_whatsapp,whatsapp
6,23,2026-03-14T21:04:40.046435,user,como cambio mi foto de perfil,,manual usuario tecnico estudiantes,open,
6,24,2026-03-14T21:04:40.046441,assistant,"Para cambiar la foto de perfil:

1. entra a tu perfil
2. ubica la seccion de imagen o foto de perfil
3. selecciona el archivo
4. confirma el cambio

Si la imagen no cambia despues de guardar:

recarga la vista del perfil
vuelve a entrar
verifica si la conexion estaba estable

Si aun no cambia, reporta que la foto no se actualiza.",1.0,manual usuario tecnico estudiantes,open,
5,25,2026-03-14T21:06:30.624042,user,"hice las 3 evaluaciones del modulo 2 y no se me desbloquea el modulo 3, que me hace falta hacer?",,manual usuario tecnico estudiantes,escalated_whatsapp,whatsapp
5,26,2026-03-14T21:06:30.624048,assistant,"Si una unidad no se desbloquea aunque la anterior ya este en 100 por ciento:

regresa a la presentacion del modulo
vuelve a entrar a la vista de unidades
confirma que no falte ningun paso final

Si el problema continua, reporta el modulo y la unidad que debia habilitarse.",1.0,manual usuario tecnico estudiantes,escalated_whatsapp,whatsapp
7,27,2026-03-14T21:10:24.205404,user,cuando intento subir una foto a uno de los plan de negocio no me permite. qué debo hacer,,manual usuario tecnico estudiantes,closed,ia
7,28,2026-03-14T21:10:24.205410,assistant,"Si completaste una parte del Plan de Negocio y no ves el cambio:

vuelve al modulo
revisa si estabas online u offline
vuelve al dashboard

Si el estado sigue incorrecto, reporta:

modulo
parte del plan afectada
si esperabas porcentaje, puntos o guardado de respuestas",1.0,manual usuario tecnico estudiantes,closed,ia
3,29,2026-03-14T21:16:36.854944,user,quién eres,,sincronizacion,escalated_whatsapp,whatsapp
3,30,2026-03-14T21:16:36.854951,assistant,No encontré información suficiente para responder con certeza. Voy a escalar tu caso para atención por WhatsApp.,0.0,sincronizacion,escalated_whatsapp,whatsapp
8,31,2026-03-17T14:48:09.062390,user,hola,,saludo,closed,whatsapp
8,32,2026-03-17T14:48:09.062397,assistant,"Hola. Puedo ayudarte con dudas sobre acceso, perfil, progreso, modulos, uso offline, sincronizacion y errores tecnicos de la plataforma. Cuéntame el problema o la accion que quieres realizar.",1.0,saludo,closed,whatsapp
8,33,2026-03-17T14:48:22.868565,system,Caso escalado a WhatsApp para atención manual.,,saludo,closed,whatsapp
8,34,2026-03-17T14:48:35.924405,user,cómo estás,,saludo,closed,whatsapp
8,35,2026-03-17T14:48:35.924410,assistant,"Para iniciar sesion, entra a la pantalla de acceso y escribe tu correo y tu contrasena. Verifica que no haya espacios adicionales al inicio o al final y revisa si el teclado tiene activado bloqueo de mayusculas.

Si el sistema no te deja entrar:

revisa que tengas conexion a internet
confirma que el correo sea el correcto
intenta nuevamente despues de recargar la pagina
si olvidaste la contrasena, usa el flujo de recuperacion disponible",1.0,saludo,closed,whatsapp
9,36,2026-03-17T15:00:11.783240,user,hola,,saludo,closed,ia
9,37,2026-03-17T15:00:11.783245,assistant,"Hola. Puedo ayudarte con dudas sobre acceso, perfil, progreso, modulos, uso offline, sincronizacion y errores tecnicos de la plataforma. Cuéntame el problema o la accion que quieres realizar.",1.0,saludo,closed,ia
9,38,2026-03-17T15:00:38.018270,user,cómo vas,,saludo,closed,ia
9,39,2026-03-17T15:00:38.018275,assistant,"Para iniciar sesion, entra a la pantalla de acceso y escribe tu correo y tu contrasena. Verifica que no haya espacios adicionales al inicio o al final y revisa si el teclado tiene activado bloqueo de mayusculas.

Si el sistema no te deja entrar:

revisa que tengas conexion a internet
confirma que el correo sea el correcto
intenta nuevamente despues de recargar la pagina
si olvidaste la contrasena, usa el flujo de recuperacion disponible",1.0,saludo,closed,ia
10,40,2026-03-18T23:17:15.652007,user,Muy buenas tardes cordial saludo.,,,closed,whatsapp
10,41,2026-03-18T23:17:15.652013,assistant,No encontré información suficiente para responder con certeza. Voy a escalar tu caso para atención por WhatsApp.,0.0,,closed,whatsapp
